keyword,year,title,description,bloggername,postdate,link
탕후루,2016,<b>2016</b> ˙ BEIJING : 1119-1122,요건 <b>탕후루</b>라는 것. 생과일꼬치에 사탕졸임? 같은 게 코팅되어져있다. 다양한 과일 중 내가 골라서 먹으면 됨 - 난 그 때도 지금도 언제나 딸기 꺄하하하 ! 우리가 묵었던 매크로 레젼드 호텔. 침대도 편하고... ,ෆhaniarchiveෆ,2016-12-25,https://blog.naver.com/octsixx/220894360044
탕후루,2016,5박6일상하이 여행 첫째날,<b>2016</b>년 11월 29일 아침 일찍부터 부지런을 떨고 드디어 뱅기 타기 직전 두근두근 생에 첫 상하이!!!... 까르푸에서 <b>탕후루</b> 발견 +_+ 사쨔나~~~~~~~~~~~~ &gt;_&lt; 꺄~~ 갠적으로 상은에 나왔던? <b>탕후루</b> 보다 귤...이 더 맛있었어... ,터벅터벅부랑자,2016-12-05,https://blog.naver.com/ner1139/220878627389
탕후루,2016,"#하얼빈 빙등제#를 가다 (빙등제 일정, 학생 할인)","이쁨 ㅜ ㅠ <b>2016</b>年 하얼빈 빙등제 일정은 <b>2016</b>년 1월 5일부터 정식 개장이며 3월 초까지만 하는것으로... 이쁨 <b>탕후루</b>!!! 아마 한국에서도 잘 알려진, 설탕물을 입혀서 굳혀낸 과일 꼬치로 중국을 대표하는 전통 간식... ",나의 작은 정원,2016-01-17,https://blog.naver.com/bbang2jjoa/220600288165
탕후루,2016,"[타이완, TAIWAN] 대만여행 2일차 #3",#단수이 #Tamsui(淡水站) #단수이 옛 거리 #명물간식 #사탕수수음료 #<b>탕후루</b> #톄단 #대왕카스테라 <b>2016</b>.07.23.(토) MRT 단수이역 1F 관광안내센터 항구 도시의 느낌이 물씬 나는 시장의 풍경과 먹방을 위해... ,소소한 삶의 행복,2016-08-27,https://blog.naver.com/purityguy68/220798209180
탕후루,2016,여자혼자 3박 4일 중국 청도 칭다오 / 오사광장... ,"<b>탕후루</b>(糖葫芦) 먹고싶다..딸기..딸기여.. 반대쪽 요트경기장쪽으로 가는길에 보이는 오월의 바람. 야경보러 살짜쿵 들려보는건 어떨까. 사진도용 / 2차 수정 / 출처, 허락없이 재배포시 법적대응 copyright(c)<b>2016</b>... ",1974 way home.,2016-05-08,https://blog.naver.com/april_0421/220703154289
탕후루,2016,중국어캠프 후기 가음이랑 언니야 오빠야랑~^^(1),<b>2016</b> 여름방학 때 만나게 될 새 언니야 오빠야들 가음이와 함께 중국어 공부 열심히 해서 글로벌... 가음이^^ <b>탕후루</b> 좋아하는 가음이~예원에서 중국어캠프 오빠야 언니야들과 예원 나들이 ~잉어 밥주기^^ 예원... ,중국인따거쌤과 사는 빛쌤 上海 카톡 :quanbi,2016-05-04,https://blog.naver.com/quanbi/220700898535
탕후루,2016,<b>2016</b> 01 08~09 나홀로 1박2일 하얼빈 여행 - 하얼빈 빙설대세계... ,위해 <b>탕후루</b>까지 사줌!!!! 밥다먹구 중앙대가 구경하는데 완전 외국느낌 엄청 큰 곰 하얼빈에 유명한 간식거리나 기념품같은거 없냐구 했더니 빵 맛있다구 빵을 사줬는데 무려 5개나 사줬당ㅎㅎㅎㅎ 그냥 하나만... ,고구미 블로그,2016-01-10,https://blog.naver.com/romi8405/220593457389
탕후루,2016,"[shanghai]초등학생,3학년 가현이-중국어캠프(제25기)직접... ",[上海] 초등학생 3학년 가현이 중국어캠프후기 /<b>2016</b>년 제25기 참가학생/ 가현이가 직접 손으로 쓴 후기... 가현이~ <b>탕후루</b> 좋아하는 가현이~~ 가음이랑 가현이 즐거운 한때~~ 샤브샤브도 먹어보고~ 중국영화관에서... ,중국인따거쌤과 사는 빛쌤 上海 카톡 :quanbi,2016-05-26,https://blog.naver.com/quanbi/220719911507
탕후루,2016,[상하이] <b>2016</b> 중국으로 여행을 가다 4편,"위에 사진으로 감상해보시면 어떤 느낌인지 알것이다&gt;&lt; 길거리 곳곳에 화덕 만두 가게, 중국 전통 간식 <b>탕후루</b>, 중국 과일 상인들이 있었고~~` 싸게 파는 초콜릿도 있었다! 우리는 그곳에서 그 초콜릿을 먹었는데... ",남스의 여행 블로그,2016-05-30,https://blog.naver.com/nams1188/220723217641
탕후루,2016,<b>2016</b> 중국 베이징 북경 여행 #3,합니다 <b>탕후루</b>!!!! 중국 <b>탕후루</b> 완전 맛있다고 해서 기대 기대!!1 첫 <b>탕후루</b> 개시~ 한국에서 파는 <b>탕후루</b>와는 다름 완전 다름 완전 맛있음 겁나 맛있음 최고 맛있음!!! 7위안 너무 맛있어서 계속 사먹었음 사실 첫... ,ellie_do,2016-08-18,https://blog.naver.com/ellie_do/220790929633
탕후루,2016,인천 차이나타운 당일치기 여행지로~♡,"한중문화원은 무료관람으로 알고있었는데 <b>2016</b>년 1월부터 유료관람이 된거 같더라구요. 아쉽지만... <b>탕후루</b>, 월병, 홍두병, 화덕만두, 튀김만두, 공갈빵, 포춘쿠키 각종 꼬치들까지! 길거리 군것질 먹거리가 정말... ",명랑플라워 육아노리,2016-02-22,https://blog.naver.com/khycmh012/220634971370
탕후루,2016,<b>2016</b>년 11월24일 대만 자유여행,생선알 핫바였나봐요 완전 신기하고 ㅋㅋㅋ 그냥 입이 거부하는 맛 이었어요ㅋㅋㅋㅋㅋ 아 나의 사랑 <b>탕후루</b>언제나 달고 맛있어요*^^*ㅎㅎ간식을 먹어도 저녁때가 또 다가오니까 배는 고프더라구요그래서... ,Dear me,2016-12-20,https://blog.naver.com/dear_m0e0_/220890748321
탕후루,2016,<b>2016</b> 중국 베이징 북경 여행 #5,이 과일 <b>탕후루</b>에도 들어가는데 <b>탕후루</b>에 있는 거 먹으면 진짜 달고 맛있음!! 조금 익은거 사야지... <b>2016</b>.08.10 - <b>2016</b>.08.15 중국 베이징 날 기억해주길 바래.. 그리고 꼭 살아보고 싶어진 베이징!! 유창해진 중국어... ,ellie_do,2016-08-19,https://blog.naver.com/ellie_do/220791848384
탕후루,2016,경기도 가볼만한 곳~<b>2016</b> 연천 구석기 겨울여행,-경기도 가볼만한 곳- -겨울여행지 연천구석기 축제- -<b>2016</b> 연천 구석기 겨울여행- -연천구석기 축제 일정... 얼음사탕인 <b>탕후루</b> 가끔 창업지도사 에스케이리의 딸이 만든 탕후로가 더 맛있네요 ㅋㅋ 오늘은... ,에스케이리의 세상보기,2016-01-07,https://blog.naver.com/amawin/220589933234
탕후루,2016,<b>2016</b> 중국 베이징 북경 여행 #4,계속 <b>탕후루</b>를 10위안에 사먹었는데 왕푸징 샤오츠제에서는 15위안 달라고 했음... 어이... 없엄... 먹거리 골목 대충보고 나옴.. 사진만 많이 찍음.. 그리고 한국사람들 많이 와서 그런지 호객행위할 때 한국말... ,ellie_do,2016-08-18,https://blog.naver.com/ellie_do/220790964442
탕후루,2016,"[인천 월미도] 차이나타운, 공화춘, 연경 / 차이나타운... ","<b>2016</b>.01.16~<b>2016</b>.01.17 인천 차이나타운은 언젠가 꼭 가보고 싶던 곳이었는데, 오빠님이 인천으로 놀러가는... 먹었었던 <b>탕후루</b>!! 중국의 유명한 길거리음식으로 과일에 사탕녹인 것을 발라논 건데 중국에서 먹던... ",SETT세트 : 쇼핑하고 먹고 여행하고 사색하는 기록들,2016-02-10,https://blog.naver.com/highbom/220622963453
탕후루,2016,[하얼빈] 하얼빈 여행 1.20 첫째날 ♡ 하얼빈역/ 안중근 의사... ,<b>2016</b> 新年快乐~~ 크리스마스 트리도 아직 해놨는데 흔들렸다.. 추워서 카메라 꺼내기도 싫어서 대충대충... 저거 뭐지 사람많은데 가볼깤ㅋㅋㅋ하다보니 마디얼 아이스크림이었당 옆에는 빙(冰)<b>탕후루</b>를 팔던데... ,옹심아 왈가닥 하우스 -,2016-02-14,https://blog.naver.com/apxltmrmrm/220626751381
탕후루,2016,<b>2016</b>. 4. 4 - 여기서 먹고 저기서 먹고~ㅋ 먹방인가봄ㅋㅋㅋ... ,ㅎㅎㅎ 반짝반짝 <b>탕후루</b>.ㅋㅋㅋ 꺄올~!!!!!! 큐브스테이크!!!ㅋㅋㅋㅋㅋㅋㅋ 완전 아저씨가 남자남자스럽게 터프하게 잘라서 구워주심.ㅋㅋ 시즈닝도 선택 가능한데 우리는 로즈핑크솔트로~ㅎㅎ 진짜 입에서... ,I love cheeeeeeeZe,2016-06-19,https://blog.naver.com/cheeeeeeeze/220740556760
탕후루,2016,대만여행 셋째날,<b>2016</b>년 10월 6일 대만여행 셋째날 전날 스케쥴이 넘 빡빡해서 많이 자고 일어났는데도 방전상태 역시 딴건... 짱이얌 <b>탕후루</b>도 하나 사서 노나먹고 둘다 입이 짧아서 같이 오길 넘 잘했다며 혼자 왔으면 이것저것... ,1 The Land,2016-11-21,https://blog.naver.com/jdmurmur/220866609480
탕후루,2016,"[*쑤저우] 상해 쑤저우, 샹먼, 핑장지에",<b>2016</b>년 1월 1일 苏州 새해맞이 쑤저우 여행!! 쑤저우에 사는 친구가 쑤저우 구경 시켜준다고 해서 무려... 흔적도 남기고~~ 돌아오는길에 딸기 <b>탕후루</b>랑 블루베리 <b>탕후루</b> 존맛탱ㅠㅠ <b>탕후루</b> 존좋..!!! 쑤저우 야경... ,행복하자,2016-01-03,https://blog.naver.com/heexiong/220585955125
탕후루,2016,[중국 하얼빈 여행] 세계 3대 눈축제 -빙등제-,하얼빈에 방문하면 반드시 먹어야할 '<b>탕후루</b>' <b>탕후루</b>는 각종 과일을 나무 꼬챙이에 꽂아 설탕물을... &quot;여러분 모두 <b>2016</b>년 병신년에는 운수대통하시길 바래요~!&quot; 얼음으로 갖가지 조각과 건축물을 빚어 그 안팎을... ,영맨의 환상특급 여행블로그,2016-02-22,https://blog.naver.com/bung007/220621652944
탕후루,2016,하얼빈(1),<b>2016</b>. 01. 05 처음 타 본 빠른 기차. 관동구샹 중양다제에서는 비싸기 때문에 기념품 사기 좋은 관동구샹.... 추워서...ㅎ <b>탕후루</b> ㅠㅠㅠㅠㅠㅠ추웠눈데 추워서 더 맛있었다 딸기가 진리지요 이번 해 주제는 세계 각... ,The Moment,2016-02-02,https://blog.naver.com/wlrh94/220616128840
탕후루,2016,중국 춘절 풍경 / 광저우 시후루(西湖路) 월수화시(越秀花市)... ,올해 <b>2016</b>년 월수화시의 문지기는 병신년의 주인공인 제천대성 손오공이네요! 니하오! 지존보! 난.. 그저... 중국 전통 주전부리인 <b>탕후루</b>(糖葫芦)입니다. 산사나무 열매를 꼬치에 꿰어 물엿을 묻혀 굳힌... ,광저우 Lee Shuaige의 신나는 차이나!,2016-02-08,https://blog.naver.com/leeshuaige/220621302787
탕후루,2016,에밀리 여행수다 2박3일 중국 청도여행 엄마와 딸 칭다오... ,이제 <b>2016</b>년도 얼마 안남았네요..;; 저는 중국여행을 다녀왔어요~ 흐흐흐 귀국 후 2일째인 오늘.. 폭풍... 허허허 가이드분이 기념으로 <b>탕후루</b> (糖葫芦) 를 사줬어요 ㅋㅋ 사과 ㅋㅋ 먹을만 했어요~ 그리고 조금도... ,일상을 도담도담,2016-12-31,https://blog.naver.com/i_cyama/220899167032
탕후루,2016,"[북경관광/스차하이(什刹海)] 스차하이 거리풍경, 뒷골목... ","<b>2016</b>-03-05 星期六 주말 북경 관광 [천안문] → [자금성] → [경산공원] → [스차하이] → [스차하이 뒷골목]... 간식은 <b>탕후루</b>나 꼬치류가 즐비하다. 아무쪼록 밥, 식사할만한데는 별로 없는 것 같다. 학교근처... ",방구석 디지털노마드,2016-03-13,https://blog.naver.com/mizno_travel/220653267788
탕후루,2016,"시안/서안 여행 :  대당 부용원, 대안탑",지금은 <b>2016</b>년 5월인데ㅎㅎ 서안 한탕인에서 나와서 오른쪽으로 좀 걷다보면 작은 황먼지 집이있다 난... 1원짜리 <b>탕후루</b> 먹고 찰칵 추워죽ㄱ겟지만 사진은 찍어야되니까 스마일ㅎ 대안탑 빠잉~ 그다음날 새벽... ,record every moment precious,2016-05-12,https://blog.naver.com/tsg02079/220707341553
탕후루,2017,[일상 다이어리] <b>2017</b>년 설날... 먹으러 가기.(Feat.후식은 <b>탕후루</b>),진열되어 있던 것과 전혀 달랐던 포장 <b>탕후루</b> ㅋㅋㅋㅋㅋ 그래도 맛있었다. 오랫만에 먹으니 시큼하고 달고 칼로리 폭탄에 먹을만했다 ㅋㅋㅋㅋ 뭐 이래저래 오늘 하루의 끝은 비록 좋지 않지만 (좋지... ,일상의 이유,2017-01-28,https://blog.naver.com/dwgk34/220922117044
