keyword,year,title,description,pubDate,originallink,link
탕후루,2023,'<b>탕후루</b>' 유행에 소아 당뇨 우려 커지는데… 제도·현장 무방비,최근 과·채 가공품류인 '<b>탕후루</b>'가 유행하는 가운데 소아청소년의 건강에 악영향을 끼칠 수 있다는 우려가... 접어든 <b>2023</b>년에는 1272명(508명↓)으로 줄었다. 특히 소아청소년 당뇨병 학생 수가 가장 많은 경기도(1218명)... ,2023-10-04 04:26:00+00:00,http://www.shinailbo.co.kr/news/articleView.html?idxno=1767309,http://www.shinailbo.co.kr/news/articleView.html?idxno=1767309
탕후루,2023,“<b>탕후루</b> 인기 어느 정도길래”…편의점까지 1020 몰이 나선다,배달의민족이 지난달 발표한 ‘배민트렌드<b>2023</b> 가을·겨울편’에 따르면 지난 7월 배민 키워드에서 <b>탕후루</b> 검색량은 반년 전인 올해 1월보다 47.3배 증가했다. 전체 검색어 순위도 3위를 차지하며 상위권을 기록했다.... ,2023-10-04 02:22:00+00:00,https://www.mk.co.kr/article/10841758,https://n.news.naver.com/mnews/article/009/0005194179?sid=101
탕후루,2023,"<b>탕후루</b>, 편의점서도 먹는다…GS25, ‘아이스딸기<b>탕후루</b>’ 출시",(2022년~<b>2023</b>년 9월) 냉동 디저트 분류 매출은 직전 2개년(2020년~2021년 9월) 매출 대비 무려 350.4% 신장한 것으로 분석됐다. 이지윤 GS리테일 냉동간편식 MD는 “이번에 선보인 아이스딸기<b>탕후루</b>와 같이 소비자들이 원하는... ,2023-10-04 01:58:00+00:00,https://weekly.cnbnews.com/news/article.html?no=154374,https://weekly.cnbnews.com/news/article.html?no=154374
탕후루,2023,[신상NEWS] SPC삼립 ‘삼립호빵’‧GS25 ‘아이스딸기<b>탕후루</b>’…이색 간...,GS25는 ‘아이스딸기<b>탕후루</b>’를 선보이며 편의점에서도 <b>탕후루</b> 열기를 이어간다. 또 신세계푸드는 이색... 발탁하고 <b>2023</b>~2024 시즌 신제품 17종을 출시한다. 겨울철 대표 간식으로 자리잡은 ‘호빵’은 인기 대표 제품들이... ,2023-10-04 01:40:00+00:00,https://www.news2day.co.kr/article/20231004500064,https://www.news2day.co.kr/article/20231004500064
탕후루,2023,"[생활경제 이슈] GS25, ‘아이스딸기<b>탕후루</b>’ 단독 출시 外",‘아이스딸기<b>탕후루</b>’를 업계 단독으로 출시한다. GS25는 ‘<b>탕후루</b>’ 열풍이 전국으로 확산되면서 근거리... 주제로 '<b>2023</b> 한옥정책 심포지엄'을 개최한다고 4일 밝혔다. 온지음공방 집공방장인 김봉렬... ,2023-10-04 00:46:00+00:00,http://www.lawissue.co.kr/view.php?ud=202310040944323581204ead0791_12,http://www.lawissue.co.kr/view.php?ud=202310040944323581204ead0791_12
탕후루,2023,"<b>탕후루</b>도 편의점에서…GS25, ‘아이스딸기<b>탕후루</b>’ 단독 출시",(2022년~<b>2023</b>년 9월) 냉동 디저트 분류 매출은 직전 2년간(2020년~2021년 9월) 매출 대비 무려 350.4% 신장한 것으로 분석됐다고 GS25는 설명했다. 이지윤 GS리테일 냉동간편식 MD는 “이번에 선보인 아이스딸기<b>탕후루</b>와 같이... ,2023-10-04 00:35:00+00:00,http://news.heraldcorp.com/view.php?ud=20231004000132,https://n.news.naver.com/mnews/article/016/0002205305?sid=101
탕후루,2023,"&quot;편의점서도 <b>탕후루</b> 사 먹는다&quot;…GS25, '아이스딸기<b>탕후루</b>' 출시",(2022년~<b>2023</b>년 9월) 냉동 디저트 분류 매출은 직전 2개년(2020년~2021년 9월) 매출 대비 350.4% 신장한 것으로 분석됐다. 이지윤 GS리테일 냉동간편식 MD는 &quot;이번에 선보인 아이스딸기<b>탕후루</b>와 같이 소비자들이 원하는... ,2023-10-04 00:04:00+00:00,https://www.news1.kr/articles/5188425,https://n.news.naver.com/mnews/article/421/0007086337?sid=101
탕후루,2023,"GS25, '아이스딸기<b>탕후루</b>' 단독 출시… “쿠캣과 협업해 냉동 디저트 강...",최근 2개년(2022년~<b>2023</b>년9월) 냉동 디저트 매출은 직전 2개년(2020년~2021년9월) 매출 대비 350.4% 신장했다. 이지윤 GS리테일 냉동간편식 상품기획자(MD)는 “이번에 선보인 아이스딸기<b>탕후루</b>처럼 소비자가 원하는... ,2023-10-03 23:42:00+00:00,https://www.etnews.com/20231004000009,https://n.news.naver.com/mnews/article/030/0003141363?sid=101
탕후루,2023,"쿠캣과 손잡은 GS25, ‘아이스딸기<b>탕후루</b>’ 단독 출시",(2022년~<b>2023</b>년 9월) 냉동 디저트 분류 매출은 직전 2개년(2020년~2021년 9월) 매출 대비 무려 350.4% 신장했다. 이지윤 GS리테일 냉동간편식 MD는 “이번에 선보인 아이스딸기<b>탕후루</b>와 같이 소비자들이 원하는 먹거리를 한발... ,2023-10-03 23:40:00+00:00,http://www.edaily.co.kr/news/newspath.asp?newsid=01551446635769640,https://n.news.naver.com/mnews/article/018/0005587471?sid=101
탕후루,2023,"&quot;<b>탕후루</b>도 편의점에서&quot;…GS25, '아이스딸기<b>탕후루</b>' 출시",쿠캣과 협업으로 얼린 <b>탕후루</b> 개발 구매 후 냉동고 보관 후 취식 가능 전국 1만7000여 GS25 매장이 '예스(Yes)... 쿠캣의 인기 냉동 디저트 18종을 GS25의 전략 상품으로 도입 후 최근 2년 동안(2022년~<b>2023</b>년 9월) 냉동 디저트... ,2023-10-03 23:10:00+00:00,https://www.asiatoday.co.kr/view.php?key=20231004010000621,https://www.asiatoday.co.kr/view.php?key=20231004010000621
