keyword,year,title,description,pubDate,originallink,link
탕후루,,"“<b>탕후루</b> 전철 밟나, 소금빵 뒤 따르나”…‘두쫀쿠’ 열풍 얼마나 갈까","당시 해태제과는 허니버터칩 출시 8개월 만인 2015년 4월 공장 증설을 결정했고, 1년 만인 <b>2016</b>년 4월 신공장을... 그렇다면 <b>탕후루</b>는 어떨까. <b>탕후루</b>도 ‘단기 과열’ 흐름을 면치 못한 대표 사례로 꼽힌다. 2023년 5월께... ",,https://www.dailian.co.kr/news/view/1600375/?sc=Naver,https://n.news.naver.com/mnews/article/119/0003050459?sid=101
탕후루,,SNS 공유 가능한 ‘경험 사치’…두쫀쿠 정점 지나는 중,"돌이켜보면 벌집 아이스크림(2013년), 대만 대왕카스테라(<b>2016</b>년), <b>탕후루</b>(2023년), 요거트아이스크림(2024년) 등 반짝 유행했다가 빠르게 식은 K디저트가 적지 않았습니다. 두쫀쿠 역시 같은 경로를 밟게 될까요? 미식의... ",,https://www.hani.co.kr/arti/society/society_general/1240276.html,https://n.news.naver.com/mnews/article/028/0002786983?sid=102
탕후루,,"2025 연말결산, 아듀 Vol 2","&lt;어쩌면 해피엔딩&gt; 역시 <b>2016</b>년 초연 이후 거의 매년 재공연되었고, 박천휴 작가는 한국 관객으로부터... 마라탕과 <b>탕후루</b>. 맵고 단 ‘길티 플레저’의 시대가 분명한 전환점을 맞은 한 해였다. 2025년 한국 식품 시장을... ",,https://www.wkorea.com/2025/12/16/2025-%ec%97%b0%eb%a7%90%ea%b2%b0%ec%82%b0-%ec%95%84%eb%93%80-vol-2/?utm_source=naver&utm_medium=partnership,https://www.wkorea.com/2025/12/16/2025-%ec%97%b0%eb%a7%90%ea%b2%b0%ec%82%b0-%ec%95%84%eb%93%80-vol-2/?utm_source=naver&utm_medium=partnership
탕후루,,[음식의 미래]음식 트렌드 전망에서 배우는 가치소비,"홀푸드마켓은 생산자, 구매 담당자, 요리사 등 현장 목소리를 반영해 <b>2016</b>년부터 11년째 음식 트렌드를... 2024년 구글에서 가장 많이 검색된 음식은 초콜릿 머핀, <b>탕후루</b>, 마카로니와 치즈(맥&amp;치즈)처럼 달고 자극적인... ",,https://www.khan.co.kr/article/202512042213005,https://n.news.naver.com/mnews/article/032/0003413296?sid=110
탕후루,,[기자수첩] 프랜차이즈 유감,"2010년대 초 스몰비어, <b>2016</b>년 대만 카스테라, 최근의 <b>탕후루</b> 등이 대표적이다. 올 들어 점포를 빠르게 늘려나갔던 9900원, 8900원 저가 한우 브랜드도 최근 들어 가맹점수 증가 속도가 급격히 줄어들었다. 경기 불황에 값싼... ",,http://www.fnnews.com/news/202510281832565351,https://n.news.naver.com/mnews/article/014/0005425889?sid=110
탕후루,,"강남구, 제1회 세계청소년백일장 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내‧외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히, 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1300인분의 간식을 무료로 제공하는 푸드트럭을 운영한다.... ",,https://biz.heraldcorp.com/article/10593409?ref=naver,https://n.news.naver.com/mnews/article/016/0002541787?sid=102
탕후루,,"강남구, 전국 최초 세계청소년백일장 ‘신나, 쉼나!’ 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내‧외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히, 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1300인분의 간식을 무료로 제공하는 푸드트럭을 운영, 지역... ",,https://biz.heraldcorp.com/article/10593242?ref=naver,https://n.news.naver.com/mnews/article/016/0002541680?sid=102
탕후루,,"강남구, 전국 최초 세계청소년백일장 '신나, 쉼나!' 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내‧외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히, 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1,300인분의 간식을 무료로 제공하는 푸드트럭을 운영해... ",,https://www.fntoday.co.kr/news/articleView.html?idxno=365550,https://www.fntoday.co.kr/news/articleView.html?idxno=365550
탕후루,,"강남구, 전국 최초 세계청소년백일장 '신나, 쉼나!' 개최","백일장에는 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내·외 국적 청소년 누구나 참여할 수 있다. 행사 당일... 특히, 뉴욕핫도그, 꼬치구이, 과일<b>탕후루</b>, 슬러시 등 1300인분의 간식을 무료로 제공하는 푸드트럭을 운영해, 지역... ",,https://www.public25.com/news/articleView.html?idxno=32385,https://www.public25.com/news/articleView.html?idxno=32385
탕후루,,"강남구, 전국 최초 세계청소년백일장 '신나, 쉼나' 개최","참가 대상은 9세부터 18세까지(<b>2016</b>년생~2007년생) 국내외 국적 청소년이며, 행사 당일 현장에서 주어진 주제로... 특히, 뉴욕핫도그 ▲ 꼬치구이 ▲ 과일<b>탕후루</b> ▲ 슬러시 등 1300인분의 간식을 무료로 제공하는 푸드트럭이... ",,http://www.ttlnews.com/news/articleView.html?idxno=3037522,http://www.ttlnews.com/news/articleView.html?idxno=3037522
